,Type,Price,Initial Amount,Monthly Installment,Remaining Installments,Location,Bath(s),Area,Purpose,Bedroom(s),Added
0,Flat,PKR1.11 Crore,PKR22.28 Lakh,PKR2.23 Lakh,23 Months,"DHA Defence, Islamabad, Islamabad Capital",2,5.5 Marla,For Sale,2,17 hours ago
1,House,PKR14.45 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,20 hours ago
2,House,PKR11.7 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,1 day ago
3,House,PKR15.4 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,2 days ago
4,House,PKR11.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,2 days ago
5,House,PKR9.75 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,19 minutes ago
6,House,PKR14 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,19 hours ago
7,House,PKR3.85 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",4,11 Marla,For Sale,3,1 day ago
8,Flat,PKR2.28 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",3,10 Marla,For Sale,3,3 days ago
9,House,PKR11 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",-,1 Kanal,For Sale,8,3 days ago
10,House,PKR9.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,2 hours ago
11,Flat,PKR1.35 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",3,6.2 Marla,For Sale,3,13 hours ago
12,House,PKR9.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,21 minutes ago
13,House,PKR8.7 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,10 hours ago
14,Flat,PKR2.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",4,9.3 Marla,For Sale,3,12 hours ago
15,House,PKR9.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,12 hours ago
16,House,PKR12.5 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,12 hours ago
17,House,PKR11 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,15 minutes ago
18,House,PKR15.95 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,15 minutes ago
19,House,PKR11 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,15 minutes ago
20,House,PKR14.45 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,15 minutes ago
21,House,PKR16.85 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1.5 Kanal,For Sale,8,16 minutes ago
22,House,PKR8.2 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,17 minutes ago
23,House,PKR9 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,18 minutes ago
24,House,PKR7.25 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,18 minutes ago
